program	episode	topic	topic2	type	group	irish	meaning	practice_ideas	s_p	m_f	literal_meaning	phonetic	sound	info
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			uimhreacha	numbers							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			na huimhreacha	the numbers							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a náid	zero							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a haon	one							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a dó	two							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a trí	three							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a ceathair	four							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a cúig	five							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a sé	six							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a seacht	seven							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a hocht	eight							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a naoi	nine							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a deich	ten							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a haon déag	eleven							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a dó dhéag	twelve					doe yeag		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a trí déag	thirteen							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a ceathair déag	fourteen							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a cúig déag	fifteen							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a sé déag	sixteen							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a seacht déag	seventeen							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a hocht déag	eighteen							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			a naoi déag	nineteen							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			fiche	twenty					fihha		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			fiche a haon	twenty one					fihha a haon		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			triocha	thirty					truck-ah		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			daichead/Ceathracha	forty					die-hid/Cara-hach		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			caoga	fifty					cway-gah		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			seasca	sixty					shahs-kah		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			seachtó	seventy					shock toe		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			ochtó	eighty					uck toe		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			nócha	ninety					noe-kah		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			céad	hundred					cay-d		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			míle	thousand					meala		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Numbers			milliún	million					millyun		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Phone			Cad é d'uimhir fóin?	What's your phone number?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Phone			D'uimhir fóin?	Your phone number?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Time			am	time					am		
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Time			Cad é an t-am atá sé?	What time is it?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Time			Cad é an t-am atá sé, le do thoil?	What time is it, please?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Time			Cad é an t-am?	What time?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Time			Cén t-am é?	What time is it?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Time			Cén t-am?	What time?							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Time			a chlog	o'clock							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Time		HOUR_O_CLOCK	a haon a chlog	1 o'clock							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Time		HOUR_O_CLOCK	a dó a chlog	2 o'clock							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Time		HOUR_O_CLOCK	a trí a chlog	3 o'clock							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Time		HOUR_O_CLOCK	a ceathair a chlog	4 o'clock							
NYT	3	SPEAKING ABOUT YOUR BACKGROUND	Time		HOUR_O_CLOCK	a cúig a chlog	5 o'clock							
